   timestamp          x        y      theta
1572538541.487539 -2.0368795 -11.8943920 81.3029556
1572538541.754292 -1.9616400 -11.8392239 80.0354462
1572538541.987572 -1.8989556 -11.7906408 79.0301132
1572538542.420912 -1.7995200 -11.7164154 77.4722519
1572538542.854299 -1.7039466 -11.6349230 75.8363876
1572538543.320917 -1.5918889 -11.5327129 74.0464554
1572538543.787667 -1.4765441 -11.4237499 72.0403900
1572538544.254299 -1.3623526 -11.3001347 70.0308685
1572538544.721050 -1.2580030 -11.1779089 67.9689713
1572538545.187676 -1.1570747 -11.0588512 66.0620575
1572538545.654431 -1.0610580 -10.9351673 64.1836700
1572538546.154435 -0.9670715 -10.8044777 62.1328430
1572538546.587831 -0.8885570 -10.6859951 60.3001823
1572538546.821193 -0.8575692 -10.6224604 59.3505020
1572538547.321188 -0.7834320 -10.4859333 57.2983513
1572538547.821191 -0.7085242 -10.3567219 55.3022079
1572538548.054569 -0.6842866 -10.2966108 54.4291534
1572538548.521200 -0.6218505 -10.1696587 52.6517639
1572538549.021347 -0.5614796 -10.0276680 50.6753654
1572538549.454576 -0.5027728 -9.9127045 49.1229324
1572538549.921335 -0.4587021 -9.7863560 47.7518463
1572538550.421332 -0.4135580 -9.6521940 46.2718239
1572538550.921333 -0.3640661 -9.5189085 44.6946793
1572538551.388087 -0.3211198 -9.3860512 43.2869682
1572538551.888090 -0.2722168 -9.2484722 41.6682091
1572538552.388092 -0.2337642 -9.1063576 40.2758865
1572538552.888095 -0.2148342 -8.9937296 39.2800140
1572538553.321471 -0.1879597 -8.8999300 38.2202759
1572538553.821475 -0.1574702 -8.7715950 36.9734535
1572538554.288225 -0.1419268 -8.6567822 35.9156570
1572538554.754870 -0.1134925 -8.5376759 34.5641403
1572538555.221607 -0.1076238 -8.3994436 33.4548073
1572538555.721610 -0.0906725 -8.2618437 32.1060219
1572538556.188361 -0.0531058 -8.1532240 30.4235764
1572538556.654990 -0.0427785 -8.0441551 29.1674557
1572538557.121742 -0.4376209 -7.4776731 31.1753902
1572538557.588406 -0.4719627 -7.2804780 30.4246922
1572538558.021745 -0.4173071 -7.1304221 28.8833923
1572538558.488498 -0.4225543 -7.0207820 27.6494503
1572538558.955128 -0.3848095 -6.8849654 26.3245888
1572538559.421878 -0.3572128 -6.7840543 25.0019455
1572538559.921882 -0.3529985 -6.6682463 24.2406063
1572538560.588524 -0.3094027 -6.5184951 22.8749866
1572538561.288668 -0.2508048 -6.3329382 21.4805202
1572538562.788654 -0.3480500 -5.9542747 19.7953758
1572538564.222030 -0.2846104 -5.5837469 17.4086628
1572538564.922159 -0.2652972 -5.4223027 16.2127609
1572538565.655539 -0.2602471 -5.2344685 15.2183466
1572538567.122171 -0.2454109 -4.8965631 12.9823322
1572538567.788925 -0.2392375 -4.7212176 11.9212790
1572538568.522302 -0.2382433 -4.5647674 10.8904181
1572538569.222323 -0.2442121 -4.4357886 10.0135403
1572538569.955688 -0.2439010 -4.2803230 9.0848131
1572538570.622440 -0.2429703 -4.1350331 8.3024864
1572538571.322443 -0.2357125 -3.9638681 7.4538584
